complaint_type,ward,municipality,district,province,specific_location,description,severity,date
education,3,Gorkha Municipality,Gorkha,Gandaki,"Ward 3","School lacks sufficient benches",2,2023-12-05
corruption,7,Hetauda Sub-Metropolitan City,Makwanpur,Bagmati,"Ward 7","Local office demanded extra fees",5,2023-12-03
health,8,Baglung Municipality,Baglung,Gandaki,"Ward 8","Hospital understaffed, long waiting lines",4,2023-12-01
road_damage,9,Butwal Sub-Metropolitan City,Rupandehi,Lumbini,"Ward 9","Road edge broken, dangerous for bikes",4,2023-11-29
electricity,10,Pokhara Metropolitan City,Kaski,Gandaki,"Ward 10","Frequent power interruptions",3,2023-11-27
water_supply,1,Janakpur,Dhanusha,Madhesh,"Ward 1","Water taps dry, residents storing water from wells",5,2023-11-25
garbage,2,Dhangadhi Sub-Metropolitan City,Kailali,Karnali,"Ward 2","Trash piles increasing due to irregular collection",3,2023-11-23
road_damage,3,Lalitpur Metropolitan City,Lalitpur,Bagmati,"Ward 3","Deep potholes near temple area",4,2023-11-21
pollution,5,Hetauda Sub-Metropolitan City,Makwanpur,Bagmati,"Ward 5","Dust from construction sites affecting nearby homes",3,2023-11-19
electricity,6,Nepalgunj Sub-Metropolitan City,Banke,Bheri,"Ward 6","Voltage fluctuation damaging appliances",4,2023-11-17
health,7,Dharan Sub-Metropolitan City,Sunsari,Koshi,"Ward 7","Clinic running out of essential medicines",5,2023-11-15
education,8,Gorkha Municipality,Gorkha,Gandaki,"Ward 8","Classes cancelled due to teacher shortage",3,2023-11-13
road_damage,9,Butwal Sub-Metropolitan City,Rupandehi,Lumbini,"Ward 9","Road surface damaged, motorbikes slipping",4,2023-11-11
garbage,10,Birgunj Metropolitan City,Parsa,Madhesh,"Ward 10","Overflowing bins near market area",4,2023-11-09
corruption,1,Hetauda Sub-Metropolitan City,Makwanpur,Bagmati,"Ward 1","Extra fees charged at municipal office",5,2023-11-07
pollution,2,Pokhara Metropolitan City,Kaski,Gandaki,"Ward 2","Vehicle emissions high, residents reporting cough",3,2023-11-05
electricity,3,Janakpur,Dhanusha,Madhesh,"Ward 3","Transformer problem, intermittent power supply",4,2023-11-03
water_supply,4,Dhangadhi Sub-Metropolitan City,Kailali,Karnali,"Ward 4","Contaminated water detected, locals avoiding tap water",5,2023-11-01
road_damage,5,Lalitpur Metropolitan City,Lalitpur,Bagmati,"Ward 5","Cracks along main street, minor accidents reported",3,2023-10-30
health,6,Baglung Municipality,Baglung,Gandaki,"Ward 6","Emergency ward understaffed, critical patients waiting",5,2023-10-28
education,7,Gorkha Municipality,Gorkha,Gandaki,"Ward 7","Insufficient classroom space",2,2023-10-26
garbage,8,Butwal Sub-Metropolitan City,Rupandehi,Lumbini,"Ward 8","Trash collection irregular, stench reported",3,2023-10-24
electricity,9,Pokhara Metropolitan City,Kaski,Gandaki,"Ward 9","Frequent blackouts at night",4,2023-10-22
water_supply,10,Janakpur,Dhanusha,Madhesh,"Ward 10","Low water pressure, residents using tankers",4,2023-10-20
road_damage,1,Birgunj Metropolitan City,Parsa,Madhesh,"Ward 1","Road broken near bus stop",4,2023-10-18
pollution,2,Dhangadhi Sub-Metropolitan City,Kailali,Karnali,"Ward 2","Smoke from brick kilns affecting air quality",3,2023-10-16
