complaint_id,ward,area,landmark,category,complaint_text,language,urgency_level,votes,total_complaints_received,status,date_submitted,has_image
MG-00020,KMC-21,Dallu Chowk,Dallu,Traffic/Signals,KMC-21: Dallu Chowk traffic chaos due to broken signals. Morning rush hour gridlock from 8-10 AM.,en,2,2,2,New,2025-05-21,No
MG-00021,KMC-7,Maitighar,Bhadrakali,Street Lighting,"Bhadrakali ko streetlamp broken xa, wires expose xa. Electric shock ko risk xa. Emergency fix!",ne,3,14,10,New,2025-06-30,No
MG-00022,KMC-1,Sitapaila,Sitapaila,Public Facilities,"Public toilet near Sitapaila in Sitapaila is very dirty, broken taps, no water. Commuters suffering daily.",en,3,9,5,New,2025-12-18,No
MG-00023,KMC-14,Jadibuti,Jadibuti,Public Facilities,"Bus stop at Jadibuti near Jadibuti has no roof, broken benches. Passengers standing in sun and rain.",en,1,3,1,New,2026-01-28,No
MG-00024,KMC-17,Ekantakuna,Dhobighat,Noise Pollution,Loudspeaker at Dhobighat from early morning. Religious event going on for weeks without permission check.,en,1,19,9,New,2025-09-27,No
MG-00025,KMC-10,Pashupati Temple,Gaushala,Road/Pothole,Pothole near Gaushala caused my motorcycle to fall. Several accidents happening at same spot. Very dangerous.,en,1,1,3,WorkDone,2025-09-08,No
MG-00026,KMC-10,Gaushala,Gaushala,Garbage/Sanitation,Kachra sankalann gardaina Gaushala ma. Gaushala ko छेउ pile bhairako xa. Urgent help!,ne,3,3,5,New,2025-04-10,Yes
MG-00027,KMC-3,New Road Gate,Ason,Street Lighting,New Road Gate ko road raat ma andho xa. Multiple poles kharab xa. Accident risk धेरै xa.,ne,1,7,11,New,2026-02-28,No
MG-00028,KMC-18,Balkhu Chowk,Teku,Illegal Construction,Unauthorized structure built on public land near Teku. Ward office ignoring complaints.,en,3,2,9,New,2025-06-03,No
MG-00029,KMC-21,Dallu Chowk,Naxal,Illegal Construction,Illegal construction blocking public road near Naxal in Dallu Chowk. Emergency vehicles cannot pass.,en,1,3,18,WIP,2025-04-26,Yes
MG-00030,KMC-28,Suryabinayak,Tokha Road,Traffic/Signals,Tokha Road ko traffic signal broken xa. Suryabinayak ma rush hour ma jam hunchha daily.,mix,2,7,7,WIP,2025-06-25,Yes
MG-00031,KMC-27,Kapan,Gokarneshwor,Garbage/Sanitation,"Kapan area very dirty, garbage pile growing near Gokarneshwor. Tourists complaining. Please send cleaning team daily.",en,2,1,11,WIP,2025-08-21,No
MG-00032,KMC-31,Sifal,Sankhamul,Water/Drainage,"Water leakage from main pipe at Sankhamul. Water wasted daily, road always wet causing traffic problems.",en,2,1,2,New,2025-11-30,No
MG-00033,KMC-5,Prime School,Prime School,Flooding,Low lying area near Prime School completely submerged after rain. Residents stranded for 57 hours.,en,1,7,1,WorkDone,2025-12-13,Yes
MG-00034,KMC-30,Shantinagar,Minbhawan,Street Lighting,"All lights off near Minbhawan from evening. Dark area very unsafe, children and women afraid to walk.",en,2,29,21,Not Required For Now,2025-08-21,No
MG-00035,KMC-28,Tokha Road,Sukedhara,Garbage/Sanitation,Tokha Road ma kachra collection bhayena 6 din dekhhi. Sukedhara paas foul smell aaucha.,mix,3,2,16,WIP,2025-11-15,No
MG-00036,KMC-19,Tripureshwor,Teku,Traffic/Signals,Teku ko signal kharab xa 2 hapta dekhhi. Rush hour ma accident hune dar xa.,ne,1,7,2,WIP,2025-10-17,No
MG-00037,KMC-27,Jorpati,Jorpati,Electricity,Illegal electrical connection near Jorpati causing overload. Risk of fire. Please inspect and take action.,en,1,2,14,Rejected,2025-09-02,No
MG-00038,KMC-15,Airport Gate,Sinamangal,Public Facilities,Drinking water tap at Sinamangal broken. People waiting in queue but no water available.,en,2,7,6,WorkDone,2026-01-29,No
MG-00039,KMC-2,Balambu,Nagarjun,Flooding,"Balambu near Nagarjun floods every rain. Water enters houses, furniture damaged. Need proper drainage.",en,3,1,7,New,2025-08-15,No
MG-00040,KMC-25,Gongabu Bus Park,Gongabu Bus Park,Public Facilities,"Public toilet near Gongabu Bus Park in Gongabu Bus Park is very dirty, broken taps, no water. Commuters suffering daily.",en,3,2,1,WorkDone,2025-11-29,Yes
MG-00041,KMC-2,Nagarjun,Ichangu Narayan,Street Lighting,KMC-2: Nagarjun road completely dark at night. Multiple light poles not working. Accidents risk very high.,en,2,1,3,WIP,2026-02-05,No
MG-00042,KMC-11,Boudhanath,Bouddha,Flooding,"Boudhanath near Bouddha floods every rain. Water enters houses, furniture damaged. Need proper drainage.",en,3,1,8,New,2025-11-01,No
MG-00043,KMC-8,Kalanki Chowk,Dhalko,Traffic/Signals,Kalanki Chowk ma traffic chaos xa broken signal le garda. Bihano 8-10 baje jam hunchha.,ne,2,2,14,WIP,2025-08-26,No
MG-00044,KMC-30,Minbhawan,Shantinagar,Electricity,Electric pole near Shantinagar leaning dangerously. Wires sagging low. Children and vehicles at risk.,en,2,11,9,New,2025-11-30,No
MG-00045,KMC-6,Lazimpat Crossroad,Lazimpat Crossroad,Street Lighting,Lazimpat Crossroad ko road raat ma andho xa. Multiple poles kharab xa. Accident risk धेरै xa.,ne,2,2,7,New,2025-11-23,No
MG-00046,KMC-18,Teku,Balkhu,Illegal Construction,"Building being constructed without permit near Balkhu. No safety barriers, debris falling on road.",en,2,9,16,WIP,2026-03-27,Yes
MG-00047,KMC-15,Airport Gate,Naya Baneshwor,Street Lighting,No lighting from Naya Baneshwor to Airport Gate market. Several snatching incidents happened this week.,en,2,9,6,WorkDone,2025-11-17,No
MG-00048,KMC-15,Sinamangal,Naya Baneshwor,Street Lighting,Sinamangal ma street light 2 hapta dekhhi baliraheko chaina. Raat ma danger xa pedestrian ko lagi.,ne,1,8,12,WIP,2025-07-10,No
MG-00049,KMC-7,Maitighar,Singha Durbar,Street Lighting,Maitighar ma street light 3 hapta dekhhi baliraheko chaina. Raat ma danger xa pedestrian ko lagi.,ne,2,0,1,WIP,2025-04-12,No
MG-00050,KMC-32,Sinamangal,Sinamangal,Flooding,KMC-32: Flooding in Sinamangal is annual problem. No permanent solution being implemented.,en,2,22,16,New,2026-03-02,No
MG-00051,KMC-5,Lazimpat Chowk,Lazimpat Chowk,Road/Pothole,Road in front of Lazimpat Chowk is broken with deep holes. Water collects during rain making it worse. Need immediate repair.,en,3,0,10,WIP,2025-05-23,Yes
MG-00052,KMC-25,Gongabu Bus Park,Gongabu Bus Park,Public Facilities,"Bus stop at Gongabu Bus Park near Gongabu Bus Park has no roof, broken benches. Passengers standing in sun and rain.",en,2,8,11,New,2025-05-01,Yes
MG-00053,KMC-16,Kumaripati,Pulchowk,Water/Drainage,KMC-16: Water supply not regular in Kumaripati. We get water only 8 days per week. Please fix the pipe.,en,2,4,2,New,2025-11-11,No
MG-00054,KMC-30,Shantinagar,Minbhawan,Street Lighting,No lighting from Minbhawan to Shantinagar market. Several snatching incidents happened this week.,en,2,6,3,New,2026-01-10,No
MG-00055,KMC-19,Teku,Tripureshwor,Noise Pollution,"Generator noise from Tripureshwor business unbearable. Running 24 hours, no muffler. Please regulate.",en,2,3,2,Rejected,2025-10-21,No
MG-00056,KMC-2,Ichangu Narayan,Ichangu Narayan,Flooding,Bridge at Ichangu Narayan gets submerged during monsoon. Alternative route very long. Need height increase.,en,3,1,15,Rejected,2026-01-02,No
MG-00057,KMC-28,Tokha Road,Sukedhara,Water/Drainage,Tokha Road ma paani supply ramro chhaina. Hapta ma 8 din matra aaucha. Pipe fix garnu parcha.,ne,2,0,3,WIP,2025-07-25,Yes
MG-00058,KMC-26,Machapokhari,Balaju,Noise Pollution,"Construction work at Balaju happening at night, Machapokhari residents cannot sleep. No action despite complaints.",en,1,9,1,WIP,2025-07-01,No
MG-00059,KMC-4,Hanuman Dhoka,Freak Street,Traffic/Signals,Freak Street ko traffic signal broken xa. Hanuman Dhoka ma rush hour ma jam hunchha daily.,mix,1,5,8,Rejected,2025-07-30,Yes
MG-00060,KMC-16,Pulchowk,Kumaripati,Public Facilities,"Bus stop at Pulchowk near Kumaripati has no roof, broken benches. Passengers standing in sun and rain.",en,1,32,15,Rejected,2025-05-08,No
MG-00061,KMC-32,Hattisar Upper,Gairidhara,Illegal Construction,Encroachment on footpath near Hattisar Upper by Gairidhara shop. Pedestrians forced to walk on road.,en,1,5,4,Rejected,2025-07-18,No
MG-00062,KMC-9,Kalimati,Kalimati Bazaar,Electricity,Frequent tripping of transformer in Kalimati. Appliances getting damaged. No response from NEA when called.,en,2,12,22,WIP,2026-01-18,No
MG-00063,KMC-31,Sankhamul Ghat,Sankhamul Ghat,Illegal Construction,Road being dug for private pipe laying near Sankhamul Ghat without permission. No restoration plan.,en,3,26,19,New,2025-09-06,Yes
MG-00064,KMC-31,Sifal,Sankhamul Ghat,Electricity,Electric pole near Sankhamul Ghat leaning dangerously. Wires sagging low. Children and vehicles at risk.,en,2,5,4,New,2025-08-14,Yes
MG-00065,KMC-10,Pashupati Temple,Gaushala,Water/Drainage,Pashupati Temple ma paani supply ramro chhaina. Hapta ma 7 din matra aaucha. Pipe fix garnu parcha.,ne,2,12,13,Not Required For Now,2025-05-19,No
MG-00066,KMC-32,Hattisar Upper,Sinamangal,Flooding,"Hattisar Upper near Sinamangal floods every rain. Water enters houses, furniture damaged. Need proper drainage.",en,2,3,1,WIP,2025-04-14,Yes
MG-00067,KMC-2,Ichangu Narayan,Balambu,Road/Pothole,Pothole near Balambu caused my motorcycle to fall. Several accidents happening at same spot. Very dangerous.,en,1,5,6,New,2026-02-23,No
MG-00068,KMC-25,Balaju,Balaju,Street Lighting,Balaju ko road raat ma andho xa. Multiple poles kharab xa. Accident risk धेरै xa.,ne,2,4,2,Rejected,2025-04-23,No
MG-00069,KMC-5,Prime School,Prime School,Flooding,KMC-5: Flooding in Prime School is annual problem. No permanent solution being implemented.,en,3,1,8,New,2025-09-21,No
MG-00070,KMC-19,Kalimati Bridge,Teku,Road/Pothole,"Road repair urgent xa Kalimati Bridge ma. Teku najik khaldo thulo cha, motorcycle accident bhayo.",mix,2,7,5,WorkDone,2025-11-09,No
MG-00071,KMC-15,Naya Baneshwor,Airport Gate,Street Lighting,Naya Baneshwor ma light chhaina raat ma. Airport Gate ko aagadi dark xa. Safety issue urgent xa.,mix,2,15,5,WorkDone,2026-03-18,No
MG-00072,KMC-9,Kalimati,Kalimati Bazaar,Traffic/Signals,"Kalimati crossroad ma traffic management chhaina. Police dekhindaina, vehicle ulto bato hlincha.",ne,3,13,17,WIP,2025-11-16,No
MG-00073,KMC-17,Satdobato,Satdobato,Traffic/Signals,"No traffic management at Satdobato crossroad. Police rarely seen, vehicles going wrong way causing jams.",en,3,1,13,WIP,2026-02-17,No
MG-00074,KMC-1,Thankot Chowk,Sitapaila,Water/Drainage,Thankot Chowk ma paani supply ramro chhaina. Hapta ma 6 din matra aaucha. Pipe fix garnu parcha.,ne,3,18,11,New,2026-03-23,No
MG-00075,KMC-21,Naxal,Dallu,Water/Drainage,Naxal ma water supply problem xa. Dallu paas ma pipe burst bhayo. Kripaya fix garnus.,mix,1,0,2,Not Required For Now,2026-02-04,Yes
MG-00076,KMC-9,Kalimati Bazaar,Kalimati Bazaar,Traffic/Signals,Kalimati Bazaar crossroad ma signal nai chhaina. Kalimati Bazaar najik accidents ko risk xa.,mix,2,11,14,Rejected,2025-11-12,Yes
MG-00077,KMC-24,Kalopul,Dillibazar,Noise Pollution,Loud music from Kalopul party hall near Dillibazar until late night. Children and elderly suffering.,en,2,25,2,New,2025-12-28,No
MG-00078,KMC-30,Shantinagar,Minbhawan,Street Lighting,Shantinagar ma light chhaina raat ma. Minbhawan ko aagadi dark xa. Safety issue urgent xa.,mix,1,0,7,New,2025-06-25,Yes
MG-00079,KMC-14,Koteshwor,Koteshwor Chowk,Garbage/Sanitation,"Garbage not collected for 4 days in Koteshwor near Koteshwor Chowk. Smell unbearable, stray dogs spreading waste everywhere.",en,2,10,1,New,2025-10-03,No
MG-00080,KMC-16,Pulchowk,Jawalakhel,Road/Pothole,Road in front of Jawalakhel is broken with deep holes. Water collects during rain making it worse. Need immediate repair.,en,2,4,4,WIP,2025-10-01,No
MG-00081,KMC-7,Singha Durbar,Bhadrakali,Street Lighting,Bhadrakali dekhi Singha Durbar market samma kei pani light chhaina. Purse snatch bhairako xa.,ne,2,22,8,WorkDone,2025-08-29,No
MG-00082,KMC-32,Hattisar Upper,Gairidhara,Water/Drainage,"Drainage blocked in Hattisar Upper near Gairidhara. Rainwater not draining, road turning into pond. Mosquito breeding.",en,1,6,18,WorkDone,2025-09-21,No
MG-00083,KMC-19,Teku,Kalimati Bridge,Flooding,Storm drain near Kalimati Bridge choked with plastic. Heavy rain causes immediate flooding in Teku.,en,2,14,11,WorkDone,2025-09-12,No
MG-00084,KMC-7,Singha Durbar,Singha Durbar,Traffic/Signals,Singha Durbar crossroad ma signal nai chhaina. Singha Durbar najik accidents ko risk xa.,mix,2,4,1,New,2026-02-14,No
MG-00085,KMC-24,Kalopul,Thapathali,Road/Pothole,Sadak thik garnu parchha Kalopul ma. Thapathali ko paas ma accident bhairaxa daily.,ne,2,7,2,Not Required For Now,2025-06-01,No
MG-00086,KMC-7,Bhadrakali,Bhadrakali,Street Lighting,KMC-7: Bhadrakali road completely dark at night. Multiple light poles not working. Accidents risk very high.,en,2,5,3,WIP,2025-08-28,No
MG-00087,KMC-2,Nagarjun,Nagarjun,Public Facilities,"Public toilet near Nagarjun in Nagarjun is very dirty, broken taps, no water. Commuters suffering daily.",en,3,2,7,New,2025-05-03,No
MG-00088,KMC-10,Pashupati,Pashupati,Illegal Construction,"Building being constructed without permit near Pashupati. No safety barriers, debris falling on road.",en,2,3,10,WIP,2026-03-09,Yes
MG-00089,KMC-4,Freak Street,Hanuman Dhoka,Public Facilities,Drinking water tap at Hanuman Dhoka broken. People waiting in queue but no water available.,en,2,1,4,New,2026-02-07,Yes
MG-00090,KMC-32,Hattisar Upper,Hattisar Upper,Public Facilities,"Public toilet near Hattisar Upper in Hattisar Upper is very dirty, broken taps, no water. Commuters suffering daily.",en,1,2,3,WorkDone,2025-11-07,No
MG-00091,KMC-1,Thankot Chowk,Sitapaila,Electricity,Electric pole near Sitapaila leaning dangerously. Wires sagging low. Children and vehicles at risk.,en,2,11,3,New,2026-03-14,No
MG-00092,KMC-30,Shantinagar,Kamalpokhari,Flooding,Storm drain near Kamalpokhari choked with plastic. Heavy rain causes immediate flooding in Shantinagar.,en,1,0,3,WorkDone,2025-05-23,No
MG-00093,KMC-24,Kalopul,Dillibazar,Water/Drainage,"Open drain in Kalopul overflowing near Dillibazar. Sewage smell unbearable, health risk for nearby residents.",en,2,2,4,New,2026-01-08,Yes
MG-00094,KMC-8,Kalanki Chowk,Kalanki Chowk,Street Lighting,Kalanki Chowk ma street light 6 hapta dekhhi baliraheko chaina. Raat ma danger xa pedestrian ko lagi.,ne,1,1,5,New,2025-05-04,Yes
MG-00095,KMC-32,Gairidhara,Hattisar Upper,Flooding,Storm drain near Hattisar Upper choked with plastic. Heavy rain causes immediate flooding in Gairidhara.,en,2,4,5,WIP,2025-10-06,No
MG-00096,KMC-20,Swayambhunath,Swayambhunath,Road/Pothole,"Swayambhunath road near Swayambhunath has deep potholes. Vehicles getting damaged, motorcycles slipping. Please fix urgently.",en,2,25,10,WIP,2025-09-20,No
MG-00097,KMC-3,New Road Gate,Ason,Traffic/Signals,Ason ko traffic signal broken xa. New Road Gate ma rush hour ma jam hunchha daily.,mix,3,3,12,New,2025-05-09,Yes
MG-00098,KMC-16,Pulchowk,Jawalakhel,Noise Pollution,Loudspeaker at Jawalakhel from early morning. Religious event going on for weeks without permission check.,en,3,3,11,WIP,2025-05-16,No
MG-00099,KMC-5,Prime School,Lazimpat,Illegal Construction,Unauthorized structure built on public land near Lazimpat. Ward office ignoring complaints.,en,2,5,3,New,2025-05-04,No
MG-00100,KMC-26,Balaju,Machapokhari,Water/Drainage,"Water leakage from main pipe at Machapokhari. Water wasted daily, road always wet causing traffic problems.",en,2,11,3,WIP,2025-08-31,No
MG-00101,KMC-2,Balambu,Balambu,Garbage/Sanitation,Illegal dumping happening near Balambu. People throwing construction waste. Ward office not taking action.,en,1,0,2,WorkDone,2026-02-12,No
MG-00102,KMC-3,Indra Chowk,Ason,Flooding,Storm drain near Ason choked with plastic. Heavy rain causes immediate flooding in Indra Chowk.,en,3,9,8,New,2025-09-30,No
MG-00103,KMC-16,Jawalakhel,Pulchowk,Public Facilities,Drinking water tap at Pulchowk broken. People waiting in queue but no water available.,en,2,11,7,New,2025-06-16,No
MG-00104,KMC-30,Kamalpokhari,Kamalpokhari,Illegal Construction,Road being dug for private pipe laying near Kamalpokhari without permission. No restoration plan.,en,3,0,1,WIP,2025-09-26,No
MG-00105,KMC-7,Bhadrakali,Bhadrakali,Water/Drainage,"Water leakage from main pipe at Bhadrakali. Water wasted daily, road always wet causing traffic problems.",en,2,4,3,Rejected,2025-12-12,No
MG-00106,KMC-23,Mahaboudha,Putali Sadak,Road/Pothole,Putali Sadak najik sadak ma thulo khaldo cha. Motorcycle wala haru lai problem bhairako xa. Urgent repair garnuhos.,ne,3,3,2,Rejected,2025-04-04,No
MG-00107,KMC-10,Gaushala,Pashupati,Public Facilities,Drinking water tap at Pashupati broken. People waiting in queue but no water available.,en,2,15,5,New,2026-01-18,No
MG-00108,KMC-28,Suryabinayak,Sukedhara,Street Lighting,No lighting from Sukedhara to Suryabinayak market. Several snatching incidents happened this week.,en,2,10,3,New,2025-07-23,No
MG-00109,KMC-2,Nagarjun,Nagarjun,Flooding,Low lying area near Nagarjun completely submerged after rain. Residents stranded for 60 hours.,en,1,2,14,New,2025-04-27,Yes
MG-00110,KMC-24,Kalopul,Thapathali,Illegal Construction,Road being dug for private pipe laying near Thapathali without permission. No restoration plan.,en,1,3,5,WorkDone,2025-10-04,No
MG-00111,KMC-23,Mahaboudha,Bagbazar,Water/Drainage,Paani leakage xa Mahaboudha ma near Bagbazar. Daily paani waste hunchha. Please inspect garnus.,ne,2,2,7,WorkDone,2025-08-10,No
MG-00112,KMC-31,Sifal,Sankhamul,Garbage/Sanitation,Overflowing dustbin at Sankhamul in Sifal. Rats and crows spreading garbage on road. Urgent cleaning needed.,en,1,10,3,Rejected,2025-07-15,No
MG-00113,KMC-31,Sankhamul Ghat,Sankhamul,Street Lighting,No lighting from Sankhamul to Sankhamul Ghat market. Several snatching incidents happened this week.,en,1,10,13,WorkDone,2025-09-19,No
MG-00114,KMC-12,Thamel Chowk,Jyatha,Noise Pollution,"Generator noise from Jyatha business unbearable. Running 24 hours, no muffler. Please regulate.",en,1,6,9,New,2026-02-11,Yes
MG-00115,KMC-19,Teku,Teku,Flooding,Storm drain near Teku choked with plastic. Heavy rain causes immediate flooding in Teku.,en,2,8,14,New,2026-03-06,Yes
MG-00116,KMC-26,Balaju Industrial Area,Machapokhari,Garbage/Sanitation,"Garbage not collected for 9 days in Balaju Industrial Area near Machapokhari. Smell unbearable, stray dogs spreading waste everywhere.",en,1,1,6,New,2025-06-18,Yes
MG-00117,KMC-10,Pashupati Temple,Chabahil,Traffic/Signals,Chabahil ko signal timing thik chhaina. Buda manche haru cross garna sakdainan.,ne,2,6,2,New,2025-12-30,No
MG-00118,KMC-25,Balaju,Gongabu,Public Facilities,"Community hall in Balaju roof leaking, walls damaged. Not usable for meetings. Please repair before monsoon.",en,2,43,4,New,2026-02-26,No
MG-00119,KMC-29,Bansbari,Lazimpat Upper,Traffic/Signals,Bansbari crossroad ma signal nai chhaina. Lazimpat Upper najik accidents ko risk xa.,mix,3,12,6,WIP,2026-02-01,No
MG-00120,KMC-9,Kalimati,Kalimati Bazaar,Road/Pothole,"Kalimati ko sadak bigreko xa near Kalimati Bazaar. Khaldo thulo cha, gadi chalauda danger huncha. Kripaya fix garnus.",ne,2,0,7,Not Required For Now,2025-08-02,No
MG-00121,KMC-27,Kapan,Jorpati,Garbage/Sanitation,Kapan thito garnus. Jorpati paas ma kachra dherai xa. Kids le fohori ma khel racha.,ne,2,2,19,New,2026-01-28,No
MG-00122,KMC-4,Hanuman Dhoka,Freak Street,Garbage/Sanitation,"Hanuman Dhoka area very dirty, garbage pile growing near Freak Street. Tourists complaining. Please send cleaning team daily.",en,3,1,10,WorkDone,2025-11-27,Yes
MG-00123,KMC-18,Balkhu,Teku,Public Facilities,"Bus stop at Balkhu near Teku has no roof, broken benches. Passengers standing in sun and rain.",en,2,5,6,WorkDone,2025-06-20,Yes
MG-00124,KMC-2,Ichangu Narayan,Ichangu Narayan,Flooding,KMC-2: Flooding in Ichangu Narayan is annual problem. No permanent solution being implemented.,en,2,6,11,Not Required For Now,2025-07-31,Yes
MG-00125,KMC-26,Balaju Industrial Area,Balaju Industrial Area,Water/Drainage,Drain blocked xa Balaju Industrial Area ma near Balaju Industrial Area. Rain ayepachi paani everywhere hunchha. Health risk xa.,mix,2,4,10,New,2025-10-23,No
MG-00126,KMC-23,Putali Sadak,Mahaboudha,Traffic/Signals,Putali Sadak ma traffic chaos xa broken signal le garda. Bihano 8-10 baje jam hunchha.,ne,2,2,3,New,2025-11-07,No
MG-00127,KMC-27,Jorpati,Jorpati,Traffic/Signals,Jorpati ko traffic signal broken xa. Jorpati ma rush hour ma jam hunchha daily.,mix,2,4,10,WIP,2026-02-17,No
MG-00128,KMC-30,Shantinagar,Shantinagar,Flooding,KMC-30: Flooding in Shantinagar is annual problem. No permanent solution being implemented.,en,2,14,10,WIP,2026-02-08,No
MG-00129,KMC-17,Dhobighat,Satdobato,Electricity,Frequent tripping of transformer in Dhobighat. Appliances getting damaged. No response from NEA when called.,en,2,1,10,New,2025-07-20,No
MG-00130,KMC-18,Teku,Teku,Flooding,"Teku near Teku floods every rain. Water enters houses, furniture damaged. Need proper drainage.",en,2,28,24,WorkDone,2025-12-24,No
MG-00131,KMC-26,Machapokhari,Balaju,Road/Pothole,"Machapokhari road near Balaju has deep potholes. Vehicles getting damaged, motorcycles slipping. Please fix urgently.",en,2,1,5,New,2025-05-26,No
MG-00132,KMC-26,Machapokhari,Machapokhari,Public Facilities,"Bus stop at Machapokhari near Machapokhari has no roof, broken benches. Passengers standing in sun and rain.",en,2,8,8,WorkDone,2025-09-28,No
MG-00133,KMC-8,Kalanki,Kalanki Chowk,Public Facilities,"Public toilet near Kalanki Chowk in Kalanki is very dirty, broken taps, no water. Commuters suffering daily.",en,2,5,7,New,2025-04-21,Yes
MG-00134,KMC-8,Dhalko,Dhalko,Noise Pollution,"Generator noise from Dhalko business unbearable. Running 24 hours, no muffler. Please regulate.",en,2,3,16,Rejected,2026-03-04,No
MG-00135,KMC-14,Jadibuti,Koteshwor Chowk,Noise Pollution,Loudspeaker at Koteshwor Chowk from early morning. Religious event going on for weeks without permission check.,en,2,5,12,WIP,2025-04-21,No
MG-00136,KMC-17,Dhobighat,Satdobato,Street Lighting,Street lamp near Satdobato is broken and wires are exposed. Electric shock risk. Please repair immediately.,en,1,24,10,WorkDone,2025-04-16,No
MG-00137,KMC-21,Dallu Chowk,Dallu Chowk,Illegal Construction,Encroachment on footpath near Dallu Chowk by Dallu Chowk shop. Pedestrians forced to walk on road.,en,3,3,13,WorkDone,2025-11-07,Yes
MG-00138,KMC-6,Lazimpat Crossroad,Lazimpat Crossroad,Public Facilities,Drinking water tap at Lazimpat Crossroad broken. People waiting in queue but no water available.,en,3,7,2,WIP,2025-06-08,Yes
MG-00139,KMC-4,Freak Street,Freak Street,Street Lighting,Freak Street ma light chhaina raat ma. Freak Street ko aagadi dark xa. Safety issue urgent xa.,mix,2,8,3,New,2025-06-27,No
MG-00140,KMC-11,Boudhanath,Jorpati,Noise Pollution,Vehicle horns and noise near Boudhanath school affecting students during exam. Traffic diversion needed.,en,1,0,3,WIP,2025-07-05,No
MG-00141,KMC-3,Ason,New Road Gate,Garbage/Sanitation,"Garbage not collected for 9 days in Ason near New Road Gate. Smell unbearable, stray dogs spreading waste everywhere.",en,3,21,2,New,2025-06-18,No
